frame,x_center,y_center
1930,358,141
1931,359,141
1932,360,141
1933,360,141
1934,360,141
1935,360,141
1936,360,141
1937,359,141
1938,360,141
1939,360,141
1940,360,140
1941,361,140
1942,362,140
1943,362,140
1944,361,140
1945,360,140
1946,360,140
1947,359,140
1948,359,141
1949,360,141
1950,360,141
1951,360,141
1952,359,141
1953,359,141
1954,359,141
1955,359,141
1956,358,141
1957,358,141
1958,359,141
1959,359,141
1960,360,141
1961,360,141
1962,361,141
1963,361,141
1964,359,143
1965,361,141
1966,361,141
1967,361,141
1968,360,142
1969,360,142
1970,360,141
1971,359,140
1972,359,140
1973,359,141
1974,358,141
1975,359,140
1976,359,140
1977,359,140
1978,359,141
1979,359,141
1980,360,141
1981,360,141
1982,361,141
1983,361,141
1984,361,140
1985,362,141
1986,361,141
1987,362,141
1988,361,140
1989,362,141
1990,361,141
1991,361,141
1992,361,140
1993,361,141
1994,361,141
1995,362,141
1996,362,141
1997,362,141
1998,361,141
1999,361,141
2000,361,141
2001,360,141
2002,360,141
2003,360,141
2004,359,143
2005,359,143
2006,359,143
2007,358,143
2008,359,143
2009,358,143
2010,359,143
2011,359,143
2012,359,143
2013,359,143
2014,358,143
2015,360,140
2016,360,140
2017,360,140
2018,360,141
2019,360,140
2020,360,140
2021,360,140
2022,360,141
2023,359,141
2024,360,141
2025,361,141
2026,360,141
2027,360,141
2028,360,141
2029,360,141
2030,360,141
2031,360,140
2032,360,140
2033,361,140
2034,360,140
2035,361,140
2036,360,141
2037,360,140
2038,359,141
2039,359,141
2040,359,141
2041,360,141
2042,359,141
2043,360,141
2044,359,141
2045,359,140
2046,359,140
2047,359,140
2048,359,140
2049,359,140
2050,360,140
2051,359,140
2052,360,140
2053,360,140
2054,360,140
2055,361,140
2056,361,140
2057,360,140
2058,358,142
2059,358,142
2060,360,140
2061,360,140
2062,361,140
2063,361,141
2064,360,141
2065,360,141
2066,360,142
2067,361,142
2068,361,141
2069,360,141
2070,360,141
2071,359,141
2072,359,141
2073,359,141
2074,359,141
2075,359,141
2076,359,141
2077,359,141
2078,359,140
2079,359,140
2080,359,141
2081,359,141
2082,359,141
2083,360,141
2084,360,141
2085,359,141
2086,360,141
2087,360,141
2088,360,141
2089,359,141
2090,359,141
2091,359,141
2092,359,141
2093,359,141
2094,358,141
2095,359,141
2096,359,141
2097,359,141
2098,359,141
2099,360,141
2100,359,141
2101,359,141
2102,360,141
2103,360,141
2104,361,141
2105,360,141
2106,360,141
2107,360,141
2108,361,142
2109,361,142
2110,361,142
2111,360,142
2112,361,141
2113,360,141
2114,361,141
2115,360,141
2116,361,141
2117,360,141
2118,361,141
2119,360,141
2120,359,141
2121,359,141
2122,360,141
2123,359,141
2124,360,141
2125,360,141
2126,360,141
2127,360,141
2128,361,141
2129,362,140
2130,361,141
2131,362,141
